artist_id,artist_name,total_followers,genres,popularity
7hOGhpa8RMSuDOWntGIAJt,A R I Z O N A,386001,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",61
3zrUX1hQrUB9aXcOiyQLmN,Stanaj,60176,[],44
6kXm2YCtdUOpRYNKeKhfue,Ryan Gosling,39907,['hollywood'],53
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,2578194,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",67
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,4411679,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",75
0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,454165,['opm'],46
49tQo2QULno7gxHutgccqF,LANY,4664821,"['la pop', 'pop']",74
6aLdhHUqgdKE86xbtNmY8g,Crush,1016539,"['k-pop', 'korean r&b']",64
64KEffDW9EtZ1y2vBYgq8T,Marshmello,33629185,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",81
1XLjkBxFokuDTlHt0mQkRe,Thomas Gold,161784,"['big room', 'edm', 'electro house', 'funky tech house', 'german techno', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",52
6O74knDqdv3XaWtkII7Xjp,Boyz II Men,2464921,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",65
4lDBihdpMlOalxy1jkUbPl,Grey,69770,[],67
1tXFYQZSAswt4JLB42lpye,Sponge Cola,1016129,"['opm', 'pinoy reggae', 'pinoy rock']",56
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,10302192,"['latin', 'latin pop', 'puerto rican pop']",75
4U78sK2D3zASSB6oSR38GQ,Christian Bautista,428841,['opm'],53
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,9715084,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",77
